AD_ID,AD_TARGETING_INTERESTS,AD_CLICKS,AD_IMPRESSIONS,AD_TEXT,TARGETTING_GROUP
606,LGBT community or Homosexuality,178,1732,"An openly gay Cuban American poet will take part in Friday's ceremony at the U.S. Embassy in Cuba where the American flag will be raised. The ceremony will mark the official reopening of the U.S. embassy along Havana's oceanfront promenade that overlooks the Florida Straits. `My inspiration is thinking about 90 miles separating the two countries and the two people, 90 miles is the sea between us.' Just 90 miles, but at the same time it is a vast schism that separates the United States from Cuba. The poet added he hopes there's still possible to achieve ""healing"" between the two countries. `This very moment, the negotiation of cultural identities...This just seems so surreal still... This is really in some sense just the beginning, the dawn of new things to come.' It would be so great if it will be indeed a new hope and a new day for Cuba, country which is still struggling to recover from severe embargo, country abused by wars. Sadly, the United States participated and initiated many of these conflicts... And there's more - severe economic crisis, socialist dictatorship of Cuban leaders. It's time for us to lend a helping hand. #RichardBlanco #Cuba #ForeignRelations #gay #queerart",LGBT
609,LGBT community or Homosexuality,537,4047,"Do you seriously believe God will judge someone for loving a person of same sex, but will not judge you for hating someone you have never met? A Kentucky clerk who defied a federal judge's order to issue marriage licenses and turned away four gay couples has until Monday to convince the judge to delay his mandate. U.S. District Judge David L. Bunning rejected Rowan County Clerk Kim Davis' claim that her Christian faith should exempt her from issuing marriage licenses to same-sex couples and ordered her on Wednesday to hand out the licenses. But her office kept denying them. Interesting what would happen if I walked up to my boss and said I refuse to the job I am being paid for today? Let me think... guess I would stand in the unemployment line! Her job is not to participate in gay weddings!! All she has to do is confirm that the paperwork is correct! She should be fired, fined and charged with contempt of court!",LGBT
610,LGBT community or Homosexuality,445,3074,"On the first anniversary of Robin Williams' death, I want to remember his most influential LGBT roles throughout his acting career. The 63-year-old comedian, who had struggled with depression, died by suicide on August 11 2014. His widow Susan Schneider said at the time of his death: ""As he is remembered, it is our hope the focus will not be on Robin's death, but on the countless moments of joy and laughter he gave to millions."" Even at home, Williams exhibited acceptance for the LGBT community with his trademark playfulness. While he denied rumours about being gay, he had no qualms about discussing the sexuality of his pet pug. He said: ""I also have a gay rescue pug called Leonard. He has a boyfriend and they are planning to adopt a Siamese kitten together. We're very modern."" When the Westboro Baptist announced its intentions to picket his funeral, pro- LGBT organisation Planting Peace raised over $40,000 for St. Jude Children's Research Hospital —one of Williams' favourite charities. Robin Williams played many different roles in so many people's lives, and giving back to others was at the top of that list... We will never forget you. And we'll always love you...",LGBT
617,"LGBT rights by country or territory, LGBT community or Same-sex marriage",1989,20810,"Well, as you know, schools are places of learning and also miniature societies. The school climate has a direct impact on both how well students learn and how well they interact with other people. More and more teachers today understand the importance of socialization and try to make their classes more friendly where each student feels involved. But despite these efforts, students who are LGBT continue to face a harsh reality.... May 24,25 Westboro baptist church is planning to stand against tolerance in education system near LGBT-friendly Lawrence High School. They want to ""remind this nation that the parents, students, teachers and staff of the high schools celebrate disobedience to God's law."" They are just inciting hate riots and violence! Their right to protest infringes on others rights! Personally have had enough of those idiots. Someone should picket them (in return)!! Any volunteers willing to help me drown out their voices of hatred? Please, DM us for more information and we can stop their nonsense - to put them on the right way!",LGBT
624,"LGBT rights by country or territory, LGBT community or Same-sex marriage",0,0,"Well, as you know, schools are places of learning and also miniature societies. The school climate has a direct impact on both how well students learn and how well they interact with other people. More and more teachers today understand the importance of socialization and try to make their classes more friendly where each student feels involved. But despite these efforts, students who are LGBT continue to face a harsh reality.... May 24,25 Westboro baptist church is planning to stand against tolerance in education system near LGBT-friendly Lawrence High School. They want to ""remind this nation that the parents, students, teachers and staff of the high schools celebrate disobedience to God's law."" They are just inciting hate riots and violence! Their right to protest infringes on others rights! Personally have had enough of those assholes. Someone should picket them (in return)!! Any volunteers willing to help me drown out their voices of hatred? Please, DM us for more information and we can stop their nonsense - to put them on the right way!",LGBT
628,"Lesbian community, LGBT community or Same-sex marriage",0,0,"HUMAN RIGHTS PHOTO CHALLENGE Despite our race, religion, gender, age, education, sexual orientation and beliefs, we are all HUMANS. In the midst of the presidential race, all what politicians dream about is money. They keep giving empty promises in order to win votes. And this is our friendly reminder for the candidates: we are the ones who elect them. We don't deserve having problems with employment, marriage, child birth etc ... We all deserve the right to be accepted. Go for it! Clicking the ""like"" button is not enough. If you want to attract the candidates' attention to the fight for human rights, do the following: 1) Take a picture with Campaign (HUMAN RIGHTS) logo (state required) 2) Post it in comments within a week 3) Share with your friends",LGBT
629,"LGBT history, LGBT culture, LGBT community or LGBT social movements",64,870,"HUMAN RIGHTS PHOTO CHALLENGE Despite our race, religion, gender, age, education, sexual orientation and beliefs, we are all HUMANS. In the midst of the presidential race, all what politicians dream about is money. They keep giving empty promises in order to win votes. And this is our friendly reminder for the candidates: we are the ones who elect them. We don't deserve having problems with employment, marriage, child birth etc ... We all deserve the right to be accepted. Go for it! Clicking the ""like"" button is not enough. If you want to attract the candidates' attention to the fight for human rights, do the following: 1) Take a picture with Campaign (HUMAN RIGHTS) logo (state required) 2) Post it in comments within a week 3) Share with your friends For the first place $50; second place $30; third place $20",LGBT
631,"Bisexuality, Lesbian community, LGBT culture, LGBT community, Transgenderism or Human Sexuality",0,0,"Is here anyone from Glendale, Arizona? WE NEED YOU! HELP US to protect the memory of the victims of hate! Last week on Friday, May Kieu and Dorothy Dutiel, both 15-year-old sophomores at Independence High School in Glendale, each died of a single gunshot wound about 8 a.m. just outside the school's cafeteria. The girls were a couple. Police are calling it a murder-suicide. This heart-breaking incident is all over the news and the comments are disgusting! Homophobes use the incident as a proof that homo love is a sin! This is just ignorance! Two children died and people are grieving! How would you feel if strangers came to your neighborhood or your school to push their agenda? These assholes are just aggravating the situation and traumatizing other KIDS! If you live in Glendale, Arizona, please, come and support us today: 6602 N 75th Ave,Glendale, AZ 85303. LET'S STAND UP AGAINST BIGOTRY! If you are not from Glendale, please, SHARE this post! Let people know we support them! P.S. please, send us photos from the event.",LGBT
632,"Bisexuality, Lesbian community, LGBT culture, LGBT community, Transgenderism or Human Sexuality",0,0,"Is here anyone from Glendale, Arizona? WE NEED YOU! HELP US to protect the memory of the victims of hate! Last week on Friday, May Kieu and Dorothy Dutiel, both 15-year-old sophomores at Independence High School in Glendale, each died of a single gunshot wound about 8 a.m. just outside the school's cafeteria. The girls were a couple. Police are calling it a murder-suicide. This heart-breaking incident is all over the news and the comments are disgusting! Homophobes use the incident as a proof that homo love is a sin! This is just ignorance! Two children died and people are grieving! How would you feel if strangers came to your neighborhood or your school to push their agenda? These assholes are just aggravating the situation and traumatizing other KIDS! If you live in Glendale, Arizona, please, come and support us today: 6602 N 75th Ave, Glendale, AZ 85303. LET'S STAND UP AGAINST BIGOTRY! If you are not from Glendale, please, SHARE this post! Let people know we support them! P.S. please, send us photos from the event.",LGBT
671,"LGBT community, Homosexuality, Yoga, Fitness and wellness or Politics and social issues",0,0,"New LGBT community. Everyday news, updates, coming outs and much more!",LGBT
673,"Motherhood, LGBT community, Indiana, Homosexuality or Love",0,0,We speak for all fellow members of LGBT community across the nation. Gender preference does not define you. Your spirit defines you.,LGBT
674,"LGBT community, Homosexuality, Yoga, Fitness and wellness or Politics and social issues",0,0,"Everyday news, updates, coming outs and much more! United we stand!",LGBT
2427,"Social democracy, Liberal Democrats, Liberalism, LGBT community, Anti-racism or Anti-discrimination And Must Also Match: Politics: Likely to engage with political content (liberal)",289,3412,"New ideas, old values. Join!",LGBT
2436,"Liberalism, LGBT community or Libertarianism",187,1451,"LGBT community is suffering from haters and especially hate religious groups! These crazy thugs should be jailed for life! Crystal Raquel Cash, 55, cannot speak but is alive after being shot nearly point blank in the face by a member of Christian hate group. The attacker, Gerald Duane Lewis, 26, and his wife reportedly are members of the Israel United in Church, which the Southern Poverty Law Center listed as a hate group last year. According to the newspapers, Lewis was wearing a shirt from the church when he opened fire, shouting a homophobic slur. The government must pay more attention to assaults on sexual minorities because this is the threat to the country's internal security!",LGBT
1611,Muslims Are Not Terrorists or Muslim Brotherhood,467,9300,Proud to be a Muslim,Muslim
1614,"Zaid Shakir, Muslims for America or Abu Eesa Niamatullah",361,7217,Stop Islamophobia,Muslim
1622,"Muslims Are Not Terrorists, Islamism or Muslim Brotherhood Connections: People who like United Muslims of America",540,3337,R.I.P Dr Ahmed Zewail. Share and be the media....,Muslim
1623,Hillary Clinton or Muslim Brotherhood,94,1849,The time has come to understand one simple thing: we the American muslims are as American Support Hillary. Save American Muslims!,Muslim
1629,"Zaid Shakir, Muslims for America or Abu Eesa Niamatullah",244,7755,I'm a Muslim and I'm proud,Muslim
1636,Muslims Are Not Terrorists. Islamism or Muslim Brotherhood Connections: People who like United Muslims of America,551,3578,We can end Islamophobia only by educating people that we are against terrorism tool let them know real Islam and Muslims and peaceful we are...,Muslim
1637,"Muslims Are Not Terrorists, Islam ism or Muslim Brotherhood",107,3072,"The safety, freedom, and dignity of all people must be safeguarded. Terrorism and anti-Mus Safe Space for Muslim Neighborhood",Muslim
1644,"Muslims Are Not Terrorists, Muslim world, Arab world or Muslim Brotherhood",443,7838,We Muslims of the United States are subject to Islamophobia from the media where regularly STOP SCAPEGOATING MUSLIMS!,Muslim
1653,Muslim Brotherhood,589,4596,Attacker calls woman 'Muslim piece of trash' before pouring liquid on her in disturbing incident outside Starbucks in Washington 11111111,Muslim
1655,"Muslims Are Not Terrorists, Zaid Shakir, ProductiveMuslim or Abu Eesa Niamatullah",4491,103079,A page to unit all Muslim people living in the USA!,Muslim
1656,Muslim Brotherhood,33,601,A page to unit all Muslim people living in the USA:,Muslim
1659,"Zaid Shakir, Muslims for America or Abu Eesa Niamatullah",19,360,we are Muslims and we stand together,Muslim
1666,"Zaid Shakir, Muslims for America or Abu Eesa Niamatullah",3063,73077,USA Muslims united,Muslim
1903,"Mecca, Muhammad, Muhammad al-Baqir, Prophets and messengers in Islam, Muslim world, Muslim Youth, All Pakistan Muslim League, Fiqh, Ana muslim, Sharia, Muslim League (Pakistan), Imam Ali Mosque, Zakat, Muslim Brotherhood, Ja'far al-Sadiq, History of Islam, Medina, As-salamu alaykum or Islam Book, School: Islam, Jesus Christ, Saudi Arabia or Quran, Field of study: Arabic, Islamic studies, Sharia, Islamic philosophy or Quran, Employers: Saudi Aramco, Mosque, Muslim, Islam, Saudi Arabia, Quran or Saba University, Job title: Muslim, Islam, Ulama or Saudi Arabia",429,15690,"Remember, islamophobia is a help to the world terrorism! This is the community which unites all the muslims who live in the US. We all are children of the Middle East. It's time to unite! @muslim Voice· Muslim Inst",Muslim
1919,"Islam, Quran, Hasan ibn Ali, Muhammad, Muhammad al-Baqir, Islam in the United States, Ahl al-Bayt, Haram, Sunnah, Glossary of Islam, Hadith, Hajj, Sharia, Allah, Muslim American Society or As- salamu alaykum",110,26772,This is the community which unites all the muslims who live in the US. We all are children of the Middle East. It's time to unite! @muslim Voice• Muslim Inst,Muslim
3,Cop Block or Black (Color),0,0,"Black lives matter because we see what's going on. We care, and we won't let it get swept under the rug. Join @blackunionus See Instagram photos and videos from Black Union for Justice (@blackunionus) Black Union for Justice (@blackunionus)• Instagram photos and videos",Black
5,"Understanding racial segregation in the united states, American Black Film Festival, Cop Block or HuffPost Black Voices, Behaviors: African American (US), Field of study: African-American history, Politics: Likely to engage with political content (liberal)",201,29786,WHERE is your VOICE?,Black
12,"Martin Luther King, Jr., Black Power, Black Arts Movement, Fight the Power, Black Panther Party, Afrocentrism, My Black is Beautiful, Black is beautiful, Malcolm X or HuffPost Black Voices",625,44111,"It's time for us to understand that we do deserve all best. It's time for our people to stand up and use all the opportunities of this life. Follow black pride us, if you agree!",Black
13,"Martin Luther King, Jr., African-American Civil Rights Movement(1954-68) or Black History Month",311,55413,The original Statue of Liberty in France is black. The Statue of Liberty was originally a black woman. The actual model that posed for the statue was also a black woman. The statue was a gift from France to America to celebrate the role black soldiers played in winning the Civil War. These are facts... Click to Learn More! Black America( @black Blacklivessss,Black
38,HuffPost Black Voices Behaviors: African American (US),95,24866,"Join us to learn more! Why aren't white hoods and white supremacist propaganda illegal here in America? Why are Germans ashamed of their bigotry, while America is proud of it? Black America( @black Blacklivessss",Black
55,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),73,812,Fast-growing black community. Latest news and everyday updates!,Black
57,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),304,7457,"Stand up, South Carolina! Let's stop the propaganda of hate and white supremacy! Not My Heritage",Black
58,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),2446,16322,Black Matters. Black community.,Black
65,"BlackNews.com, Black History Month or African-American history",1734,41395,"Two years have passed since August 11, 2014, the date. when 25-year-old Ezell Ford was mur Justice For Ezell Ford And Donnell Thompson",Black
66,HuffPost Black Voices,0,3,A rally in loving memory of Aiyana Jones May 16 will mark the sixth anniversary of the br The 6th Anniversary Of The Aiyana Jones' Death,Black
72,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),75,2461,"Black Community! We finally made a website! News about black racial and social issues. This happened yesterday, Feb. 2, at a dry cleaning shop in a black neighborhood, when this black guy went for his clothes he had already sent for laundry. ""What do you mean by you people?"" The black guy asked. There was a murmur from inside the shop; the dry cleaner answered ""those who are arguing m... Black Matters The Police should protect not Brutalize Ideally Black Women... S. F. Police Vow To Eradicate Racism Plans to fight racism in the ranks.. Black History Month The event grew out of ""Negro History Week,"" the brainchild Black Matters",Black
75,BlackNews.com or HuffPost Black Voices,0,0,"Black Community! We finally made a website! News about black racial and social issues. Get breaking news and analysis on the life of African American community in the US. Black Matters Hillary Doesn't Deserve Black Votes Young black voters give up on Mrs. Clinton Outraged Flint Resident: ""Lawsuit Must Be Filed Against State!"" Flint Water Crisis touched the feelings of all Americans and the whole world. Justice For Aiyana Jones Rally The tragic death of Aiyana Jones, a 7-year-old African-American fatally shot by a Detroit police officer 4 Officers, Who Shot Jeremy McDole, Won't Face State charges, Family Protests In Wilmington Friday The tragic alleged murder of Jeremy McDole happened last September after he had been ""robbed and shot by an unknown robber,"" Black Girl Gets Rope Burns During A Camping Trip When Sandy Rougely's 12-year-old daughter returned from a one day camping trip on April 28, Sandy was shocked to see a horrible rope burn on the front side of the kid's neck. Black Matters",Black
76,BlackNews.com or HuffPost Black Voices,3402,89836,"Black Community! We finally made a website! News about black racial and social issues. Get breaking news and analysis on the life of African American community in the US. Black Matters Hillary Doesn't Deserve Black Votes Young black voters give up on Mrs. Clinton Outraged Flint Resident: ""Lawsuit Must Be Filed Against State!"" Flint Water Crisis touched the feelings of all Americans and the whole world. Justice For Aiyana Jones Rally The tragic death of Aiyana Jones, a 7-year-old African-American fatally shot by a Detroit police officer 4 Officers, Who Shot Jeremy McDole, Won't Face State charges, Family Protests In Wilmington Friday The tragic alleged murder of Jeremy McDole happened last September after he had been ""robbed and shot by an unknown robber,"" Black Matters",Black
78,BlackNews.com or HuffPost Black Voices,1739,44405,"Black Community! We finally made a website! News about black racial and social issues. Get breaking news and analysis on the life of African American community in the US. Black Matters Chicago IPRA Finally Gets Dashcam Video Of Darius Pinex Shooting It took over five years for the IPRA to get the key evidence in the fatal police shooting of a black Chicago man committed in 2011. Orlando Nightclub Massacre And The Race Factor Orlando tragedy shed light on how hate and terrorism can destroy innocent lives within a matter of seconds. Pepper-Sprayed Victim Donates $100K Settlement To Social Justice A Seattle high school history teacher Jesse Hagopian, pepper- sprayed by police, says he'll donate the $100K settlement to help movement for justice. NYPD Cop Pulls A Gun On Black Cyclist In Fender-Bender A 21-year-old black cyclist plans to sue a white NYPD police officer for threatening his life by pointing a gun at him during a fender-bender. Black Matters",Black
86,"Martin Luther, Black Panther Party, African-American Civil Rights Movement(1954-68), African-American history or Malcolm X",75,2920,"Two years have passed since August 11, 2014, the date, when 25-year-old Ezell Ford was mur Justice For Ezell Ford and Donnell Thompson",Black
102,BlackNews.com,2775,37821,"Almost 2 years have passed since the death of Eric Garner,. a father of 6, who was violentl Rally In Memory Of Eric Garner",Black
112,"BlackNews.com or HuffPost Black Voices, Multicultural Affinity: African American (US)",117,3086,Get breaking news of African American community in the US!,Black
181,Black Tea Patriots or BlackNews.com,0,0,"The will attract the UN's attention to the long term injustice and cruelty against people of color in the United States. The genocide instituted by white supremacists should be stopped. Join our protest that will be held Also, join the event for more info: #CrimesOfGenocide",Black
182,Black Tea Patriots or BlackNews.com And Must Also Match: Multicultural Affinity: African American (US),221,4529,"The ill attract the UN's attention to the long term injustice and cruelty against people of color in the United States. The genocide instituted by white supremacists should be stopped. Join our protest that will be held Also, join the event for more info: #CrimesOfGenocide",Black
183,Black Tea Patriots or BlackNews.com,144,1847,Join our upcoming event: https://www.facebook.com/events/162707160753103/ Confirmed speakers for the #WeWantFreedom protest include black activist #Crim esOfGenocide,Black
186,BlackNews.com,180,1590,"Formation. undoubtedly focuses on `black identity"". as Beyonce justifies her authority as a proud Black woman and concurrently authenticating her roots and history. Read more http://blackmattersus.com/1670-20-time-grammy-winner-and-proud-queen- d iva-be-goes-political-with-her-form ation/",Black
187,Black Tea Patriots or BlackNews.com,0,5,"ATTENTION, NEWYORK! We need your support! We'll provide you with free food and coffee. Come and bring your friends! Join the FB event for more details:",Black
234,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),2,9,"When the cameras and lights are gone, our babies are dead. So I'm going to ask you here today to wake up, says late Sandra Bland's mom. A Congressional Caucus on Black Women and Girls held over the week brought together dozens of public figures, lawmakers and relatives of Sandra Bland, who was k Sandra Bland's Mom Gives Devastating Speech To Congressional Leaders I Black Matters Black Matters",Black
235,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),598,6349,"Beaufort County School District is investigating the case of a white school teacher asking a black student to go back to Africa. According to reports, Nicole Whitmore's son, who is a freshman in Battery Creek High School, was sitting with about 10 other students when their teacher instruc White Teacher Tells Black Teen To ""Go Back To Africa"" I Black Matters Black Matters",Black
236,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),0,0,Mrs. Clara Belle Williams succeeded despite significant obstacles of discrimination placed upon her while pursuing her higher education.,Black
237,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),2132,19255,"I can tell you right now that the gun looked a 100 percent real. A 1000 percent real, says Major Deron Garrity. Alvin Colvin's younger brother, Dedric, was shot in the leg and shoulder by Baltimore police officer Garrity on Wednesday April 27 while holding a spring-air-po Black Teen Confronts Officer Who Shot His Younger Brother While Holding A Toy Gun I Black Matters Black Matters",Black
238,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),488,6765,"A federal court in Illinois ruled on Wednesday that police officers need a warrant to search someone's cellphone before making arrest. An Illinois Federal Court has finally spelt out this rule clearly to the cops, prior to a case, Riley v. California, where an Illinois officer was involved in a Court Says Cops Need A Warrant Even Just To Look At The Screen Of Your Phone I Black Matters Black Matters",Black
239,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),1,19,The teachers responsible for such a cruel and inhumane punishment of child should be fired and never allowed to teach again. A Georgian woman is furious after a teacher punished her 5-year-old special needs grandson by making him hang by his belt from a loop on the top of a chalkboard Teachers Hung 5-Year-Old Black Special Needs Boy By Belt From Top Of Chalkboard Black Matters Black Matters,Black
240,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),1,2,"Minnesota poll shows that majority of the black residents do not side with the Hennepin County Attorney and want the two officers involved in the shooting of Jamar Clark to be charged. After Hennepin County Attorney, Mike Freeman's decision not to indict Dustin Schwarze and Mark Ringgenberg, the officers involved in the shooting of the black m Jamar Clark Shooting Has Shown How Divided The America Society Is I Black Matters Black Matters",Black
241,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),52,950,"A viral Facebook video shows how an innocent black bystander was attacked by a K-9 dog in a crowd of residents due to an incompetent attitude of a police officer. An innocent bystander, Rafer Allen, a black Virginia man was attacked by a K-9 police dog on Saturday after officers were trying to apprehend a drug dealer susp Cop Attacks Innocent Bystander With K-9 I Black Matters Black Matters",Black
242,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),0,3,ATTENTION. DETROIT! Justice hasn't been served for Aiyana and her grieving family. Join our upcoming rally: https-://www.facebook.com/events/1 727519624184050 May 16 will mark the sixth anniversary of the brutal slaying of 7-year-old Aiyana Stanley-Jones by Detroit Police Officer Joe Weekley. The fight is not over.,Black
243,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),57,614,"The teacher also had a confederate flag in his class, but the school district still thinks his intent was not to offend. A Black woman from Utah is outraged that her teenage son sat through a class in which a teacher used the n-word and defined its meaning and history, Fox 19 repo Utah School Defends White Teacher's Use of the N-Word In Class I Black Matters Black Matters",Black
244,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),63,1118,"A Public Defender posed a controversial question to potential Jurors for the trial of a young Black man convicted of murder. The question indicated to an increasing awareness among public defenders that they too may harbor racial and ethnic biases about Blacks. Earlier this year, San Francisco public defender, Mark Jacobs, posed a shocking question to a group of jurors prior to the trial of a young black man. The quest Racial Incongruities In U.S. Criminal Justice System I Black Matters Black Matters",Black
245,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),54,1323,"Smithsonian Rep denies reports that the museum plans to preserve gazebo where Tamir Rice died, but acknowledged they are helping someone else who wants to do it. The Smithsonian Museum has issued a statement that the institute is not looking into preservation of the gazebo where 12-year-old Tamir Rice was gunned down by Smithsonian Museum Is Not Trying To Save Gazebo Where Tamir Rice Was Shot I Black Matters Black Matters",Black
246,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),94,817,"Officer Van Dyke needs protection because like every murderer, he sees revenge as a possibility. The attorney for a white Chicago police officer, who is charged with first-degree murder in the October 2014 fatal shooting of a black teenager, has filed a mot Cop Who Murdered Laquan McDonald Requests Protection I Black Matters Black Matters",Black
247,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),51,732,"After several flip-flops, Attorney Anita Alvarez has finally decided to step down from the case she never wanted to prosecute. Cook County State's attorney has asked the judge on Thursday to appoint a special prosecutor to take over the case against the white Chicago police officer, who Chicago State's Attorney Withdraws From Laquan McDonald Case I Black Matters Black Matters",Black
248,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),115,1378,"A District Judge ruled that the former Tulsa volunteer sheriff's deputy, who fatally shot an unarmed Black man, does not have the right to post bail. A Tulsa County judge ruled on Tuesday that Robert Bates, the former Oklahoma volunteer sheriff's deputy convicted of manslaughter in the fatal shooting of an un Convicted Ex-Oklahoma Reserve Deputy Denied Bail Black Matters Black Matters",Black
249,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),180,2045,"Prosecutors in Baltimore are pushing to bring criminal charges against cops, who stopped Freddie Gray without probable cause. A novel theory, which Prosecutors in Baltimore are expected to try in the trial of a police officer charged in the arrest and death of Freddie Gray, states that Baltimore Prosecutors: Officers Should Be Charged For Making Illegal Arrests I Black Matters Black Matters",Black
250,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),147,2060,"The officers choked Maurice Marrow causing him to faint, despite his cries about an imminent seizure. A video taken by a New York City train rider shows cops brutally beating a Black man into seizure and fainting on Friday morning at Halsey St. station in Bushwi Watch How Officers Beat Black Brooklyn Man Into Seizure I Black Matters Black Matters",Black
251,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),292,3797,"American empathy becomes visible when the most vulnerable are white people. America's opiate epidemic has changed the rhetoric on drug abuse from mass incarceration to therapeutic and rehabilitative approaches, but not because political White Addiction Problems Change The Rhetoric From War On Drugs To Therapy I Black Matters Black Matters",Black
