AD_ID,AD_CLICKS,AD_IMPRESSIONS,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_INTERESTS,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
3313,65,1921,1000.00 RUB,18 - 65+,,"Mixed martial arts, Martial arts, The Women's Self Defense Institute, PERSONAL & HOME DEFENSE, Self-defense, Self- defense (United States), Personal Defense, Right of self-defense, Self Defense Family or Active Self Protection",News Feed on desktop computers or News Feed on mobile devices,"Join the event, bring your friends, feel safe with us It's free! Organized on a donation basis. https://www.meetup.com/Black-Fist- Self-Defense-ProjecU Free Self-Defense class in Long Beach, CA -",
3462,4,1218,341.88 RUB,15 - 30,,"Grooveshark, Last.fm, SoundCloud, Vevo, Shazam (service) or Google Play Music",News Feed on desktop computers,Stop paying for music! Listen legally and for free. Download now! Free and legal music service. Click to download! musicfb.info FaceMusic Stop A.I.,
2770,16587,300815,65705.82 RUB,18 - 65+,Exclude people who like South United,Confederate States of America,"News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers","Join us if you know it's just a car, NOT A SYMBOL OF HATE South United",212000000.0
1006,337,3517,146.11 RUB,16 - 65+,,"Black nationalism, Pan-Africanism, Police misconduct, African-American culture, African-American Civil Rights Movement ( 1954-68), African-American history, Black Consciousness Movement, Martin Luther King Ill, Stop Police Brutality or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Ifs not flesh and blood. But the heart which makes us fathers and sons.,31000000.0
102,2775,37821,12485.17 RUB,18 - 65+,,BlackNews.com,News Feed on desktop computers or News Feed on mobile devices,"Almost 2 years have passed since the death of Eric Garner,. a father of 6, who was violentl Rally In Memory Of Eric Garner",
2725,6999,42646,500.00 RUB,18 - 65+,,"Hispanic and latino american culture, Mexico, Mexican american culture, Hispanic culture, Latino culture, Latin hip hop, Chicano, Chicano Movement, Hispanidad, Mexican Pride, Lowrider, Chicano rap or La Raza",News Feed on desktop computers or News Feed on mobile devices,I'll just leave this here,49000000.0
3225,19,2267,467.50 RUB,18 - 65+,,"Martin Luther King; Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X","News Feed on desktop computers, Instagram Feed or News Feed on mobile devices","There are always roadblocks, obstacles and challenges and you have to find other ways to reach your goal. That's what makes it interesting. Boris Kodjoe Success stories Boris Kodjoe: More Than Actor 2017-01-192017-01-19 0 Comment Boris Kodjoe, the World of Alfa clothing ""There are always roadblocks; obstacles and challenges and you have to find other ways to reach your goal. That's what makes it interesting."" Boris Kodjoe Born Boris Frederic Cecil... Boris Kodjoe More Than Actor — Black4Black black4black.info",2900000.0
3112,0,0,,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,"Dr. King preached to thousands and millions, all in an attempt to gain ""true liberation for the oppressed, Black people. Years after his death, we still march on streets like he did. We still ask and beg and plead. Maybe it's time to change tactics? #blackexcellence #PanAfricanism #BlackNationalism #BlackEmpowerment #African Empowerment #AfricanAndProud #BlackAndProud #BlackPride #BlackPower #BlackLivesMatter #Amerikkka #UnapologeticallyBlack #UnapologeticallyAfrican #BlacklnAmerica #BlackIsBeautiful #KnowThySelf #KnowledgeOfSelf #KnowledgeOfSelflsANationality #EconomicEmpowerment #Integration Failed #WhiteLiesMatter #Education #African Unification #AfricanUnity #BlackLove #JusticeOrElse #ProBlack #Regrann #blackexcellence",2900000.0
3192,175,1488,300.00 RUB,18 - 65+,,"Martin Luther King, Jr., 2nd Amendment, African-American culture, African-American Civil Rights Movement (1954--68), Gun Owners of America, African-American history, Malcolm X, Black (Color) or Guns & Ammo",News Feed on desktop computers or News Feed on mobile devices,"It's all about self preservation and protection people. Exercise those rights, they are there for you!",48000000.0
1458,589,7550,2142.17 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,How many more black men have to be killed until the government realizes that it's time to Justice For Philando Castile,
2124,23,201,300.00 RUB,18 - 65+,,"Martin Luther King, Jr.; African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,She is so stunning!,2900000.0
554,0,0,,18 - 65+,,Independence or Patriotism,News Feed on desktop computers or News Feed on mobile devices,"Since the game of American football was first played at the collegiate level in the late 1860s, the sport has captivated fans by using both strength and strategy to get the win. With the introduction of the American Professional Football Association, later renamed to the National Football League, audiences saw athletes play more ferociously than ever before. American football has actually became national kind of sports in the United States. We are proud of such players as Michael Vick, Peyton Manning and John Elway. We are proud we live in America!",6400000.0
1888,60,27541,2697.80 RUB,18 - 65+,,,Instagram Feed,African American Breaking News and Opinion. Click Learn More! Black Pride ( @black Yoyoyoyoyoy,
16,53,21093,2131.44 RUB,14 - 65+,,"Wounded Warrior Project, Support our troops, Veterans, AMVETS, Disabled American Veterans, Chris Kyle or Supporting Our Veterans And Must Also Match: Interests Paralyzed Veterans of America. Veterans Day, Wounded Warrior Project; Support our troops, Veterans, AMVETS; United States Army Reserve, Patriotism, Disabled American Veterans; The Veterans Site, Chris Kyle or Supporting Our Veterans",Instagram Feed,A Wounded Warrior and his service dog. Support our Veterans - Follow: The US Gov Spending Stats Instalol,
3294,138,1254,200.00 RUB,18 - 65+,,"American Indian Movement, Native American Indian Wisdom, Cherokee language or Cherokee Nation",News Feed on desktop computers or News Feed on mobile devices,"Tsawataineuk Canadian Native American tribe. Their reservation is located in British Columbia. In the 2007 year in community lived 59 people. (Photo: Tsawatenok, 1914)",470000.0
1732,0,0,,18 - 65+,,"CollegeHumor, BuzzFeed or 9GAG",News Feed on desktop computers or News Feed on mobile devices,What is life now,59000000.0
944,1363,9022,67.64 RUB,16 - 65+,,"Black nationalism, Pan-Africanism, Police misconduct, African-American culture, African-American Civil Rights Movement ( 1954-68), African-American history, Black Consciousness Movement, Martin Luther King Ill, Stop Police Brutality or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Black beauty in all shades.,31000000.0
3371,476,5884,2172.11 RUB,18 - 65+,Exclude people who like Fit Black,"The Women's Self Defense Institute, Self- defense, Personal Defense, Right of self-defense or Active Self Protection","News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers",Self-Defense Project. Feel safe with us.,7800000.0
609,537,4047,800.00 RUB,18 - 65+,,LGBT community or Homosexuality,News Feed on desktop computers or News Feed on mobile devices,"Do you seriously believe God will judge someone for loving a person of same sex, but will not judge you for hating someone you have never met? A Kentucky clerk who defied a federal judge's order to issue marriage licenses and turned away four gay couples has until Monday to convince the judge to delay his mandate. U.S. District Judge David L. Bunning rejected Rowan County Clerk Kim Davis' claim that her Christian faith should exempt her from issuing marriage licenses to same-sex couples and ordered her on Wednesday to hand out the licenses. But her office kept denying them. Interesting what would happen if I walked up to my boss and said I refuse to the job I am being paid for today? Let me think... guess I would stand in the unemployment line! Her job is not to participate in gay weddings!! All she has to do is confirm that the paperwork is correct! She should be fired, fined and charged with contempt of court!",37000000.0
48,0,0,0,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,,229000000.0
2475,299,4450,400.00 RUB,18 - 65+,,"Martin Luther King, Jr., My Black is Beautiful, Black is beautiful or Black Girls Rock!",News Feed on desktop computers or News Feed on mobile devices,Probably you remember Virginia McLaurin who visited the Obamas at the White House last year. She was 106-year-old at that moment. Later she celebrated her 107th birthday with the Harlem Globetrotters basketball team. It seems that Virginia and the team became friends because they celebrated her 108th birthday together! Virginia McLaurin celebrates 108th birthday with Harlem Globet...,12000000.0
3233,0,0,,18 - 65+,Exclude people who like Nefertiti's Community,"Pan-Africanism, Kemetism or Black Girls Rock!","News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers","If u love to be woke and u wanna improve ur knowledge of self, join our community! We post love everything hotep! Nefertiti's Community",
